State,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALASKA,280,337,401,502,615,864,766,903,1148,1061,1053,1065,1389,1341,1491,2613,*,1999,2377,2685,2647,2436,2466,2152,2152,2805,2746,2868,*,3272,4857,2761,2650,3789,3906,3906,3846,4271,1804,1580,1765,1560
ALABAMA,2815,2819,3774,4025,4473,4662,4755,4407,4284,4843,5370,6801,7291,7908,8219,8740,8524,8913,9750,9603,7750,8498,6502,7620,7225,13670,8400,9905,10223,10898,11307,13455,12272,11943,11867,11913,11604,11257,11636,13036,14032,14089
ARKANSAS,1975,2218,2329,2452,2350,2229,2204,2316,2299,3168,2855,3543,4273,4574,4600,3836,4369,5280,5215,5727,6204,6106,7017,7028,7147,7207,8045,8064,6005,6651,7017,7475,7667,7142,5879,9088,9475,9504,10180,8995,9572,10270
ARIZONA,1908,1977,2276,2919,3110,3310,3409,4125,4629,5534,5463,6161,6657,7790,7705,8171,9295,8748,9090,9222,10175,9444,9688,10118,11625,12123,11589,12758,14382,14500,14912,15208,13801,13109,13040,13602,14634,14877,13766,13499,13861,13569
CALIFORNIA,12419,15940,14487,18024,22321,27511,29681,37883,48925,59698,73398,87055,95762,96865,94477,99189,105299,116613,123876,132523,134485,131588,130180,127328,124545,125719,123839,129734,138697,139774,140999,129870,119116,96827,34433,38295,38765,34790,35730,37091,35330,34215
COLORADO,1522,1361,1556,1860,2066,2349,2343,2627,2961,3355,3254,3498,3439,4037,4359,4510,4964,5334,6098,6333,6881,7064,7373,7615,8329,8366,9220,10499,11063,11466,11494,11195,10884,9572,9509,10145,10186,9301,8721,9650,10164,9423
CONNECTICUT,2103,3126,3159,2671,2786,2815,2781,2740,2716,3183,4716,9702,12107,11832,9778,7538,1880,1504,1227,2140,1933,6511,6415,6790,7342,6738,6764,6698,7091,7228,6691,6472,6358,6065,5829,5699,5701,5576,4917,4565,4343,4223
DELAWARE,693,462,429,735,788,735,671,920,951,1034,1041,1109,1074,1206,1323,1327,1254,1327,1481,1762,1888,2689,2760,2465,4298,2250,1740,1438,1556,1911,1507,1573,1599,3051,3042,3159,3374,3178,3121,2917,2536,2030
FLORIDA,8888,9011,10235,13579,14900,17836,13739,16416,20879,27590,36656,45611,43569,37440,34626,32269,29897,26335,24209,25688,25524,32443,35849,35205,36638,39649,40571,46641,36335,33595,40876,38063,32816,33422,32288,33641,32041,30451,29053,28210,28527,28000
GEORGIA,5742,5919,6893,7826,9768,10021,9741,9897,10572,12765,10635,15070,17155,15812,16423,15264,15374,15407,15714,15379,15471,19961,17373,17342,18078,17575,20200,19276,22391,21171,18641,17610,16728,14877,15743,19478,18455,17227,17585,16699,17736,18277
HAWAII,205,206,246,243,231,319,430,437,536,464,488,455,826,1750,1537,1823,1844,1806,2356,2839,3481,1592,1609,1718,1914,1853,1698,1684,1465,1525,1745,1731,1584,1375,1540,1414,1883,1562,1557,1559,1805,1440
IOWA,993,1199,1293,1753,1813,1970,2020,2244,2286,2516,2756,3067,3101,2985,3340,3611,4114,4072,4156,4441,4798,4560,5117,5384,6206,6281,6379,6408,6573,5732,5597,4377,4942,4741,5125,5416,5471,5540,5995,6063,5829,6854
IDAHO,653,658,612,755,826,872,852,957,912,931,1059,1203,1129,1402,1456,1770,1648,2356,2526,2326,2621,2337,3407,2710,3063,3174,4404,4080,4141,4063,3879,3870,4308,3541,4575,3722,4611,4097,5767,5747,5004,5250
ILLINOIS,6513,6740,8068,11987,9860,10730,10138,10787,11481,11502,10952,14567,18309,18880,19929,21717,23345,24371,24541,26683,27362,28291,29985,35575,34659,36242,39435,40031,40334,36028,36164,37802,34383,31230,30940,31021,29742,27175,25674,24471,22933,22230
INDIANA,2590,3062,3726,4384,4435,4637,4151,4404,4513,4825,5187,5304,5248,5927,6522,6830,7186,8344,8847,9874,10566,10574,11890,13021,14010,15623,16043,16974,17671,17654,18503,19799,18586,18784,18963,19202,17439,16391,12885,12274,12028,11177
KANSAS,1653,1612,1674,1876,2257,2311,2117,2229,2391,2557,2966,3346,3609,3477,3705,3853,4025,4129,4244,4173,4517,4896,5013,4506,4884,4607,4524,4899,5084,4865,4512,4833,4971,5000,5115,5277,4636,5932,6491,6497,6548,5902
