State,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALASKA,712,760,822,1024,1322,1631,1967,2329,2460,2528,2588,2744,2622,2706,2865,2703,3292,3522,3716,4165,4097,3949,4173,4571,4398,4527,4554,4812,5069,5167,5014,5285,5391,5597,5633,5081,5794,5338,4434,4399,4380,4475
ALABAMA,5625,5464,6543,7657,9233,9856,10482,11015,11710,12827,12610,13907,15665,16760,17453,18624,19573,20718,21760,22290,22676,24658,26406,26741,27947,27913,25887,27888,28241,29412,30508,31874,31764,32270,32431,32381,31771,30810,28883,27608,26841,28304
ARKANSAS,2654,3042,2911,3328,3922,4246,4482,4611,4701,5441,5519,6649,7322,7766,8285,8625,8957,8910,9407,10021,10638,11415,11915,12594,13091,13315,13807,13511,13729,14314,14716,15208,16204,16108,14654,17235,17874,17707,17537,18070,17799,17759
ARIZONA,3456,3749,4372,5223,6069,6889,7845,8531,9434,10948,12095,13251,14261,15415,16477,17811,19746,21341,22493,23484,25515,25986,26510,27710,29359,31170,32515,33471,35801,37746,39502,40544,40209,40020,40080,41177,42259,42719,42320,42030,42005,42441
CALIFORNIA,21325,22632,24569,29202,34640,39373,43197,50158,59484,66975,76171,87297,97309,101808,109496,119951,126091,135646,146049,155790,161904,163067,163001,159444,161361,164487,166556,170676,175512,174282,173670,171275,165062,149569,134534,135981,136085,129593,130084,131039,128625,122687
COLORADO,2486,2668,2629,2772,3042,3244,3231,3386,3804,4808,5765,6908,7671,8392,8997,9462,10717,11063,12438,13461,14312,15670,16833,17448,18833,19671,20293,21456,22481,22841,23274,22795,22815,21978,20462,20371,20646,20041,19981,19946,20372,19785
CONNECTICUT,3189,4061,4308,5263,5156,5474,5718,6149,6905,7511,8005,9301,10500,10977,11403,13691,14380,14802,16571,17241,17605,18639,18355,19196,20720,19846,19497,19442,20566,20924,20661,19716,19321,18324,17530,17563,16636,15816,14957,14040,13681,12823
DELAWARE,1325,1419,1474,1712,2068,2198,2202,2553,2833,2982,3197,3458,3471,3717,4062,4210,4466,4836,5110,5435,5558,6983,6921,7003,6778,6794,6927,6944,7186,7257,7057,6775,6615,6739,6914,7004,6955,6654,6585,6443,6067,5692
FLORIDA,21436,19748,20735,23589,27830,26334,26914,28600,32237,32445,34732,39999,44387,46533,48302,53048,57163,63879,63763,64626,67224,69596,71319,72404,75210,82012,85533,89768,92969,98219,102388,103915,104306,103055,101930,103028,102870,101424,99974,98504,97538,96009
GEORGIA,11317,12106,12178,12444,14405,15358,15404,16262,16922,18575,18787,20885,22411,23743,25290,27783,33425,34266,35139,36505,39262,42091,44232,45937,47445,47208,51104,48749,52792,54256,52719,56986,56432,55944,55457,54004,52949,52193,53627,53667,53647,54816
HAWAII,727,856,985,1207,1461,1700,1965,2111,2180,2264,2300,2459,2533,2700,2926,3129,3333,3560,4011,4978,4924,4903,5053,5431,5423,5828,5960,6146,5967,5978,5955,5891,5912,6037,5831,5632,5866,5879,5602,5630,5375,5279
IOWA,1982,2272,2481,2670,2829,2814,2836,2687,2777,2851,3034,3584,3967,4145,4518,4898,5437,5906,6342,6938,7394,7232,7955,7962,8398,8546,8525,8737,8838,8732,8766,8813,9455,9116,8733,8697,8838,8849,9031,9024,9419,9282
