Jurisdiction ,Facility Name,Facility Type,Total RC,Date
Alameda,Santa Rita Jail,II,3812,9/27/2023
Amador,Amador County Jail,II,76,9/27/2023
Butte,Butte County Jail,II,614,9/27/2023
Calaveras,Calaveras Co. Adult Detention Facility,II,128,9/27/2023
Colusa,Colusa County Jail,II,92,9/27/2023
Contra Costa,Martinez Detention Facility,II,683,9/27/2023
Contra Costa,Marsh Creek Detention Facility,III,188,9/27/2023
Contra Costa,West County Detention Facility,II,1096,9/27/2023
Del Norte,Del Norte County Jail,II,146,9/27/2023
El Dorado,El Dorado County Jail,II,303,9/27/2023
El Dorado,South Lake Tahoe Jail,II,158,9/27/2023
Fresno,Fresno South Annex Jail,II,528,9/27/2023
Fresno,Fresno North Annex Jail,II,1152,9/27/2023
Fresno,Fresno County Main Jail,II,1064,9/27/2023
Glenn,Glenn Co Adult Detention Fac,II,144,9/27/2023
Humboldt,Humboldt Co. Corr. Facility,II,417,9/27/2023
Imperial,Imperial Adult Regional  Fac.,II,276,9/27/2023
Imperial,Herbert Hughes Corr. Center,II,324,9/27/2023
Imperial,Oren Fox Detention Facility,II,270,9/27/2023
Inyo,Inyo County Jail,II,96,9/27/2023
Kern,Central Receiving Facility,II,292,9/27/2023
Kern,Lerdo Pre-Trial Facility,II,1336,9/27/2023
Kern,Lerdo Maximum/Medium,II,408,9/27/2023
Kern,Kern County Justice Facility,II,796,9/27/2023
Kern,Lerdo Minimum Facility,II,792,9/27/2023
Kings,Kings County Jail Facility,II,613,9/27/2023
Lake,Lake County Jail- Hill Road Facility,II,286,9/27/2023
Lassen,Lassen Adult Detention Facility,II,231,9/27/2023
Lassen ,Lassen County Adult Jail Annex,II,40,9/27/2023
Los Angeles,LA Men's Central Jail,II,3512,9/27/2023
Los Angeles,LA Twin Towers Corr. Facility,II,2432,9/27/2023
Los Angeles,L A Inmate Reception Center,II,0,9/27/2023
Los Angeles,LA North County Corr. Facility,II,2214,9/27/2023
Los Angeles,LA Pitchess East Facility,II,926,9/27/2023
Los Angeles,LA Pitchess South (No.  Annex),II,782,9/27/2023
Los Angeles,LA Pitchess North Facility,II,830,9/27/2023
Los Angeles,LA Century Reg. Det. Facility,II,1708,9/27/2023
Madera,Madera Adult Correctional Fac,II,560,9/27/2023
Marin,Marin County Jail,II,349,9/27/2023
Mariposa,Mariposa Co. Adult Det. Fac.,II,58,9/27/2023
Mendocino,Mendocino Adult Det. Facility,II,295,9/27/2023
Merced,Merced County Jail,II,189,9/27/2023
Merced,John Latorraca Correctional Center,II,566,9/27/2023
Modoc,Modoc County Jail,II,43,9/27/2023
Mono,Mono County Jail,II,48,9/27/2023
Monterey,Monterey County Jail,II,1151,9/27/2023
Napa,Napa County Jail,II,276,9/27/2023
Napa,Staff Secure Facility/ Transitional Facility,IV,72,9/27/2023
Nevada,Wayne Brown Correctional Facility,II,284,9/27/2023
Orange,Orange County Mens Jail,II,1219,9/27/2023
Orange,Intake Release Center,II,407,9/27/2023
Orange,Orange County Women's Jail,II,270,9/27/2023
Orange,Theo Lacy,II,2080,9/27/2023
Orange,Santa Ana Police Facility,II,503,9/27/2023
Placer,Placer County Main Jail,II,492,9/27/2023
Placer,South Placer Jail,II,300,9/27/2023
Placer,So. Placer Mimimum Security,II,120,9/27/2023
Plumas,Plumas County Jail,II,67,9/27/2023
Riverside,Robert Presley Detention Ctr.,II,760,9/27/2023
Riverside,Larry D. Smith Correctional Facility,II,1458,9/27/2023
Riverside,Cois Byrd Detention Center,II,1142,9/27/2023
Riverside,Blythe Jail,II,79,9/27/2023
Riverside,John J. Benoit Detention Center,II,1536,9/27/2023
Sacramento,Sacramento County Main Jail,II,2400,9/27/2023
Sacramento,Rio Cosumnes Correctional Ctr.,II,1625,9/27/2023
San Benito,San Benito Adult Detention,II,142,9/27/2023
San Benito,Curtis J. Hill Rehabilitation Center,II,72,9/27/2023
San Bernardino,San Bernardino Central Detention Center,II,712,9/27/2023
San Bernardino,San Bernardino Glen Helen,II,1070,9/27/2023
San Bernardino,San Bernardino High Desert Detention Center,II,2098,9/27/2023
San Bernardino,West Valley Detention Center,II,3072,9/27/2023
San Diego,San Diego Central Jail,II,946,9/27/2023
San Diego,Las Colinas Women's Detention,II,1216,9/27/2023
San Diego,Facility # 8,II,200,9/27/2023
San Diego,South Bay Detention Facility,II,386,9/27/2023
San Diego,George Bailey Detention Facility,II,1380,9/27/2023
San Diego,Rock Mountain Detention Facility,II,200,9/27/2023
San Diego,East Mesa Reentry Facility,II,760,9/27/2023
San Diego,Vista Detention Facility,II,807,9/27/2023
San Diego,CorCivic Detention Services,IV,488,9/27/2023
San Francisco,San Francisco County Jail #2,II,392,9/27/2023
San Francisco,San Francisco Co. Jail #53,II,768,9/27/2023
San Francisco,San Francisco Co. Jail #3 Annex,II,124,9/27/2023
San Joaquin,John J. Zunino Facility,II,1195,9/27/2023
San Joaquin,San Joaquin County Honor Farm,II,355,9/27/2023
San Luis Obispo,San Luis Obispo County Jail,II,639,9/27/2023
