State,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALASKA,322,295,362,365,472,661,545,666,1012,960,958,1019,1446,1352,1387,1854,*,1896,2084,2449,2677,2565,2663,2080,2080,2753,2743,2719,2730,3316,3741,3219,3091,3599,3774,3774,3774,4085,2159,1967,1761,1717
ALABAMA,2984,3005,3452,3194,3091,3602,4150,3904,3529,3745,5615,5583,5501,6873,7681,7508,7619,7857,8772,9031,7280,8417,7331,8100,7674,10191,9348,10659,11492,11315,11865,12644,12488,11646,11958,12181,12327,12367,13625,14521,14924,13065
ARKANSAS,1908,1895,2384,2066,1753,1925,1978,2187,2209,2428,2777,3198,4101,4126,4127,4047,4404,4700,4745,4783,5579,5445,6324,6663,7680,7177,7625,9148,5676,6054,6615,6991,6664,7252,6299,6544,8815,9702,10370,8443,9805,10341
ARIZONA,1687,1949,1653,2080,2261,2243,2506,3498,3864,4014,4443,5013,5602,6728,6698,6863,7450,7462,7858,8392,8573,9000,9120,9067,10080,10409,10205,11940,12220,12567,13214,13867,13512,13162,13008,12942,13521,14100,13869,14085,13698,13044
CALIFORNIA,10207,14230,12483,13375,16651,23069,25923,31256,39526,52611,64430,76497,85978,92472,87525,89083,99788,106438,112756,122649,129800,130180,130271,130408,120128,119090,118083,121956,130246,136088,137060,132732,121988,109585,47705,36353,38559,41257,34528,36894,34468,37864
COLORADO,1372,1317,1442,1699,1794,2147,2356,2489,2543,2351,2297,2355,3329,3316,3754,4045,3709,4988,4723,5310,6030,5706,6210,7000,6944,7528,8598,9336,10038,11106,11061,11674,11343,10409,11025,10236,9870,9958,8934,9669,9774,9891
CONNECTICUT,1716,2850,3182,2426,2326,2367,2610,2445,2433,2872,4630,8116,10645,11018,9569,5824,1888,1586,1344,1591,1660,5672,6292,6669,6536,7233,7111,6817,6466,6577,6817,7277,6516,6824,6417,5498,6128,6091,5772,5304,4961,4480
DELAWARE,508,379,430,574,529,669,704,707,764,874,993,1026,1117,1017,1088,1251,1299,1194,1376,1617,1941,2212,2287,2369,4155,2211,2106,1583,1478,1912,1621,1705,1686,3611,4022,4264,4230,4272,4049,2839,2737,2277
FLORIDA,7741,10462,9431,10590,10961,19582,12373,14693,17133,27458,34335,40326,39155,35289,32872,27688,25623,19626,24329,24860,22905,30071,34127,34119,33827,34785,37044,42348,35598,28705,37277,37167,32768,34673,33661,32855,32754,32690,31166,30467,30132,30140
GEORGIA,6420,5094,6605,7371,8096,9124,9676,9378,9644,10891,10341,13469,15169,14573,14584,12801,10277,13759,15471,14007,12607,17173,15048,16002,16941,17696,19115,18119,18011,19298,20455,16944,17560,15607,15708,19990,19394,18012,16217,16742,17946,17355
HAWAII,119,172,162,110,110,157,165,339,443,449,510,359,875,1692,1381,1715,1782,1608,1992,2345,3259,1383,1391,1601,1744,1526,1691,1439,1514,1531,1808,1916,1764,1404,1631,1615,1184,1293,1666,1834,1816,1667
IOWA,1014,1072,1043,1562,1654,1985,1998,2248,2196,2442,2573,2517,2718,2807,2967,3231,3575,3603,3720,3845,4342,4722,4394,5376,5770,6133,6444,6196,6230,5838,5567,4656,4369,5110,5469,5448,5327,5522,5813,6080,5971,7135
IDAHO,625,630,625,615,736,724,786,866,808,944,913,937,1018,1220,1343,1420,1443,1846,2022,2246,2486,1760,2714,2539,2864,3039,3490,3573,3835,3868,3908,3760,4277,4111,4624,3762,4540,5320,5480,5398,5444,4443
ILLINOIS,7173,6718,8705,9715,9914,9157,8546,9267,10659,11108,9721,10936,15505,17281,17404,18862,21309,23244,23347,24747,25099,26682,29364,36508,36314,35517,38799,39166,39403,35919,35905,38115,31126,31221,30172,31426,30117,29732,28652,26882,24479,23893
INDIANA,2444,2188,2715,3106,3699,3959,4061,3852,4317,4154,4550,4355,4853,5677,6307,6257,6634,7214,8102,8935,9280,10330,11069,12219,13351,14158,15111,16499,16617,17308,18518,19841,20035,18592,18736,18119,18083,16225,14689,11803,11175,11085
KANSAS,1610,1661,1470,1600,1949,1684,1578,1741,1778,2121,2930,3665,3450,3349,3580,4154,3381,3446,3542,4018,4245,4512,5236,4273,4526,4410,4690,4797,5336,4985,4669,4731,4561,4699,4849,5180,5585,5950,6424,6434,6431,6042
KENTUCKY,2825,2456,3085,2787,3114,2969,2875,2957,2910,2717,3311,3330,3964,4340,5307,5749,6047,5974,6835,6544,7602,6647,7866,8345,8417,9318,10872,12460,13477,13988,15633,14276,16122,14756,16403,16932,17818,18560,18640,20662,20107,19647
LOUISIANA,1968,1941,1895,2431,2353,2656,3458,3662,4036,4957,4795,5704,6160,6977,9598,10405,10741,11753,12591,13223,14116,15387,14674,15253,14948,13988,15117,15126,14769,15119,15145,15053,17369,16711,17227,17750,17966,18057,16404,17948,16844,16947
MASSACHUSETTS,1558,1523,1384,1538,1813,2409,2654,2883,3408,3437,3884,4189,4680,4938,4558,5253,4283,4265,2959,3468,3330,3275,3211,2724,2374,2472,2581,2259,2318,2304,2725,2944,3026,2724,3070,2930,2732,2771,2531,2369,2373,2392
MARYLAND,5114,5343,5436,4359,3711,3608,3711,4190,4239,4576,4975,5595,6837,7471,8140,8487,8797,9085,9185,10297,10626,10440,10151,10182,9749,10351,10687,10883,10356,10424,10562,10931,9475,9888,10413,9552,9514,10277,9479,8873,8185,7468
MAINE,538,482,518,390,589,649,497,390,599,679,655,753,840,850,897,803,823,764,853,659,606,725,688,801,873,826,647,604,522,1122,740,1160,1188,1091,1113,975,1040,694,647,705,768,755
MICHIGAN,6031,6489,6562,6997,7092,7836,7599,5222,5671,6073,7525,9378,10734,11297,11201,12385,11106,12086,12494,11538,13327,12277,11961,12850,13303,14250,13987,12613,12687,14719,13636,18212,17038,14377,13202,14309,14180,13728,14087,13472,12217,11476
MINNESOTA,1291,1270,1256,1271,1425,1448,1445,1458,1546,1728,1944,2089,2333,2272,2568,2657,2826,3051,2992,3449,4056,4475,4245,4260,4715,5437,5849,7126,7591,7971,7936,7777,7882,7734,7730,7808,7642,7669,8254,8092,7838,7032
MISSOURI,2255,2697,2867,2710,2772,3157,3616,3755,4894,5275,5886,6982,7130,7802,8967,9821,9553,10572,10593,11489,12374,12894,14173,14657,16097,18240,18561,19230,20295,19642,18981,18110,17809,17830,17973,18798,18773,17936,18423,18439,19503,18621
MISSISSIPPI,1228,1665,2016,2179,2310,2710,2420,2691,2634,2859,2644,3177,3401,3312,4583,3885,3357,3446,4575,5151,4491,4245,4940,5709,5592,7967,8668,9189,10169,8473,7831,9287,8700,8197,7728,8202,9442,6105,7080,7748,7502,7047
MONTANA,351,312,386,460,445,468,464,390,577,544,503,575,565,590,678,687,670,609,815,916,1096,1091,1074,1276,1556,1689,1975,2127,2321,2262,2176,2288,2227,2104,2091,2351,2396,2416,2548,2774,2844,2487
NORTH CAROLINA,8153,7519,7490,9004,8960,10035,7987,8481,9274,10947,12468,15332,17253,21188,23157,24175,22188,14866,14522,12500,11726,10811,9688,9030,9030,9134,9371,9810,10028,10118,10617,11495,11539,11878,12327,13829,15264,16353,16677,17244,18111,17215
NORTH DAKOTA,178,150,146,175,191,237,215,242,310,294,271,347,333,334,330,334,345,435,479,526,646,672,604,715,773,874,924,1004,1040,984,1056,1013,1023,1022,1082,1187,1067,1525,1627,1672,1555,1359
NEBRASKA,604,624,612,709,618,646,620,544,692,826,975,1089,1245,1315,1382,1436,1408,1338,1546,1541,1532,1581,1518,1755,1868,1976,2053,2003,2106,1983,1990,2157,2152,2438,2743,2628,2326,2358,2413,2432,2281,2353
NEW HAMPSHIRE,192,180,207,218,235,250,202,238,308,350,360,430,505,637,672,959,819,978,949,946,999,1012,1066,1046,1066,1195,1086,1386,1346,1402,1507,1564,1669,1952,1655,1639,1666,1671,1612,1421,1351,1349
NEW JERSEY,3671,3651,3910,3102,3457,4832,4188,4921,5304,5545,6740,7193,8945,9779,13325,11501,12387,12586,14577,15341,14041,14734,15362,16064,14827,15043,14418,13649,13986,14358,13885,12860,12821,11744,11056,10952,10447,10436,9864,9137,8273,8228
NEW MEXICO,723,885,752,1109,945,1085,1330,1593,1649,1359,1923,1990,1967,1683,2117,2115,2158,1954,2264,3089,2264,2008,3404,3222,5828,3944,4090,4079,4274,4507,4013,4130,3953,3530,3372,3347,3515,3737,3632,3632,3652,3546
NEVADA,641,725,814,918,843,1052,1143,1456,1473,2113,2094,2826,2911,2982,3004,3113,2846,3200,3546,3834,4146,4536,4374,4480,4734,4800,5076,5479,4986,5204,5278,5967,6036,5910,5623,5623,5838,5838,5778,6549,6434,6689
NEW YORK,8050,8816,9468,8521,10259,12151,12249,13966,15169,17862,19909,21813,26516,26776,28153,32969,32376,32949,30929,30469,27978,28034,29993,29184,27860,28503,27024,26089,25804,27725,28153,26052,25852,24852,24548,23656,23234,22045,22362,21993,21966,20903
